,Druid,Purl,Title,Source Id,Catkey,source_id
1347,wk739yx2502,https://purl.stanford.edu/wk739yx2502,The anniversary : a Christmas story,sul:36105213320745,9268198,36105213320745
1348,wm327qn3423,https://purl.stanford.edu/wm327qn3423,Idaline : a story of the Egyptian bondage,sul:36105213336923,9631127,36105213336923
1349,wm385jw6895,https://purl.stanford.edu/wm385jw6895,Reminiscences of Australia : the diggings & the bush,sul:36105213336170,9625568,36105213336170
1350,wm528wg1960,https://purl.stanford.edu/wm528wg1960,"Winchester Meads : in the time of Thomas Ken, D.D., sometime Bishop of Bath and Wells",sul:36105213330306,9515731,36105213330306
1351,wm659jm3965,https://purl.stanford.edu/wm659jm3965,Queen Phillippa and the hurrer's daughter : a tale of the Haberdashers' Company,sul:36105213325389,9371596,36105213325389
1352,wm743fn6407,https://purl.stanford.edu/wm743fn6407,The Danvers jewels,sul:36105213331874,600710,36105213331874
1353,wn073fq9335,https://purl.stanford.edu/wn073fq9335,"Nirgis : a tale of the Indian mutiny ; and, Bismullah, or, Happy days in Cashmere",sul:36105213324564,9350338,36105213324564
1354,wn144ds9169,https://purl.stanford.edu/wn144ds9169,Blackfriars bridge : a tale,sul:36105213322535,9330317,36105213322535
1355,wn166rc2946,https://purl.stanford.edu/wn166rc2946,Broomieburn : border sketches,sul:36105213332096,9562052,36105213332096
1356,wn516xr7416,https://purl.stanford.edu/wn516xr7416,"The thing that hath been, or, A young man's mistakes",sul:36105213321909,9320597,36105213321909
1357,wn582dx1144,https://purl.stanford.edu/wn582dx1144,"Emily Vernon, or, Self sacrifice",sul:36105213324804,9351550,36105213324804
1358,wn627sf1904,https://purl.stanford.edu/wn627sf1904,A dish of matrimony,sul:36105213331726,9559027,36105213331726
1359,wn701nf8066,https://purl.stanford.edu/wn701nf8066,The old Chelsea bun-house : a tale of the last century,sul:36105213329944,1286217,36105213329944
1360,wn732pz3447,https://purl.stanford.edu/wn732pz3447,The knobstick : a story of love and labour,sul:36105213331981,9561346,36105213331981
1361,wp321js7418,https://purl.stanford.edu/wp321js7418,"Cleo the Magnificent, or, The muse of the real : a novel",sul:36105213337376,9635728,36105213337376
1362,wp789yy2930,https://purl.stanford.edu/wp789yy2930,"The waif from the waves : a story of three lives, touching this world and another",sul:36105213330744,9521799,36105213330744
1363,wp943gw8964,https://purl.stanford.edu/wp943gw8964,The Mystery of the Morgue of Paris,sul:36105213328672,9440131,36105213328672
1364,wq094rd2916,https://purl.stanford.edu/wq094rd2916,The voice of a flower,sul:36105213324168,9346631,36105213324168
1365,wq477hx9818,https://purl.stanford.edu/wq477hx9818,"Dame Alicia Chamberlayne of Ravensholme, Gloucestershire : memories of troublous times",sul:36105213330207,9515085,36105213330207
1366,wq541gw5949,https://purl.stanford.edu/wq541gw5949,Iva Kildare : a matrimonial problem,sul:36105213328326,9436646,36105213328326
1367,wq594tc2108,https://purl.stanford.edu/wq594tc2108,Aimée : the story of a life,sul:36105213322550,9330411,36105213322550
1368,wq926ds6288,https://purl.stanford.edu/wq926ds6288,The Lady Drusilla : a psychological romance,sul:36105213325546,9372380,36105213325546
1369,wr097qr3780,https://purl.stanford.edu/wr097qr3780,Gobi or Shamo : a story of three songs : in one volume,sul:36105213335081,9613048,36105213335081
1370,wr398cy1372,https://purl.stanford.edu/wr398cy1372,"Fabiola, or, The church of the Catacombs",sul:36105213337335,9635644,36105213337335
1371,wr423st1793,https://purl.stanford.edu/wr423st1793,The gold of Chickaree,sul:36105213328441,9437989,36105213328441
1372,wr499rc5469,https://purl.stanford.edu/wr499rc5469,St. Asaph's,sul:36105213333276,9589001,36105213333276
1373,wr621xq2061,https://purl.stanford.edu/wr621xq2061,"The pearl of Lisnadoon, or, A glimpse of our Irish neighbours",sul:36105213334613,9608274,36105213334613
1374,wr781bc1497,https://purl.stanford.edu/wr781bc1497,Floating remembrances and sketches of a sea life,sul:36105213333383,9589676,36105213333383
1375,ws301sq0377,https://purl.stanford.edu/ws301sq0377,Across the hills,sul:36105213322329,9325488,36105213322329
1376,ws505kk9712,https://purl.stanford.edu/ws505kk9712,"A kiss for a kingdom, or, A venture in vanity",sul:36105213332807,9583511,36105213332807
1377,wt268gz5124,https://purl.stanford.edu/wt268gz5124,Judith Lee : a tale of old Sheffield,sul:36105213323095,9335201,36105213323095
1378,wt952jm7107,https://purl.stanford.edu/wt952jm7107,Archibald Malmaison,sul:36105213333128,9585273,36105213333128
1379,wv618sx3818,https://purl.stanford.edu/wv618sx3818,Midnight webs,sul:36105213321149,9274198,36105213321149
1380,wv856vh6342,https://purl.stanford.edu/wv856vh6342,"The island of liberty, or, Equality and community",sul:36105213326031,9377248,36105213326031
